centre,left,right,sa
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_06_633.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_06_633.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_06_633.jpg,-0.2
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_06_711.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_06_711.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_06_711.jpg,-0.4
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_06_785.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_06_785.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_06_785.jpg,-0.6000001
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_06_862.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_06_862.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_06_862.jpg,-0.8000001
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_06_933.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_06_933.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_06_933.jpg,-0.9500002
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_011.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_011.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_011.jpg,-1
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_085.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_085.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_085.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_162.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_162.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_162.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_234.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_234.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_234.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_311.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_311.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_311.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_384.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_384.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_384.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_462.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_462.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_462.jpg,-0.15
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_536.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_536.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_536.jpg,-0.3
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_612.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_612.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_612.jpg,-0.5000001
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_684.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_684.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_684.jpg,-0.7
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_764.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_764.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_764.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_837.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_837.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_837.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_912.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_912.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_912.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_07_986.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_07_986.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_07_986.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_062.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_062.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_062.jpg,-0.15
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_135.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_135.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_135.jpg,-0.3
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_210.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_210.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_210.jpg,-0.5000001
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_284.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_284.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_284.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_358.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_358.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_358.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_433.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_433.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_433.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_510.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_510.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_510.jpg,-0.1
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_583.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_583.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_583.jpg,-0.3
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_655.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_655.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_655.jpg,-0.45
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_732.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_732.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_732.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_805.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_805.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_805.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_882.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_882.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_882.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_08_955.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_08_955.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_08_955.jpg,-0.1
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_032.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_032.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_032.jpg,-0.3
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_104.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_104.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_104.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_182.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_182.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_182.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_253.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_253.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_253.jpg,-0.05
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_330.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_330.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_330.jpg,-0.25
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_403.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_403.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_403.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_479.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_479.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_479.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_550.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_550.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_550.jpg,-0.1
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_650.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_650.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_650.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_716.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_716.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_716.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_791.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_791.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_791.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_867.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_867.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_867.jpg,-0.2
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_09_934.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_09_934.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_09_934.jpg,-0.35
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_012.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_012.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_012.jpg,-0.5500001
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_089.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_089.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_089.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_167.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_167.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_167.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_245.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_245.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_245.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_312.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_312.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_312.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_387.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_387.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_387.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_466.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_466.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_466.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_545.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_545.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_545.jpg,-0.1
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_612.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_612.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_612.jpg,-0.25
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_689.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_689.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_689.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_757.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_757.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_757.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_830.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_830.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_830.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_898.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_898.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_898.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_10_967.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_10_967.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_10_967.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_034.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_034.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_034.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_106.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_106.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_106.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_184.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_184.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_184.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_265.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_265.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_265.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_345.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_345.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_345.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_416.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_416.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_416.jpg,-0.15
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_492.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_492.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_492.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_570.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_570.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_570.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_651.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_651.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_651.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_721.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_721.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_721.jpg,-0.05
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_790.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_790.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_790.jpg,-0.2
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_862.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_862.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_862.jpg,-0.4
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_11_932.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_11_932.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_11_932.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_011.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_011.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_011.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_077.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_077.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_077.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_147.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_147.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_147.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_217.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_217.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_217.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_286.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_286.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_286.jpg,-0.2
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_362.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_362.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_362.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_445.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_445.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_445.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_518.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_518.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_518.jpg,0
C:\Users\admin\ML\car-behavioral-cloning-master\IMG\center_2019_03_05_22_42_12_596.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\left_2019_03_05_22_42_12_596.jpg,C:\Users\admin\ML\car-behavioral-cloning-master\IMG\right_2019_03_05_22_42_12_596.jpg,0
